=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 12] STT 31 | Ma: G0AHPH001  | Ten: Bảng tuần hoàn các nguyên tố hóa học (Dành cho học sinh Trung học phổ thông - Theo chương trình GDPT năm 2018) | Gia:    9,000 Ä‘ | SL:  1 | ThanhTien:      9,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 32 | Ma: G1BHZH001  | Ten: Bài tập Hóa học 12 (KNTT)                               | Gia:   20,000 Ä‘ | SL:  1 | ThanhTien:     20,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 33 | Ma: G1HHZB003  | Ten: Sinh học 12 (KNTT)                                      | Gia:   24,100 Ä‘ | SL:  1 | ThanhTien:     24,100 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 34 | Ma: G1HHZB004  | Ten: Chuyên đề học tập Sinh học 12 (KNTT)                    | Gia:   11,000 Ä‘ | SL:  1 | ThanhTien:     11,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 35 | Ma: G1BHZB001  | Ten: Bài tập Sinh học 12 (KNTT)                              | Gia:   16,000 Ä‘ | SL:  1 | ThanhTien:     16,000 Ä‘ | Ghi chu: Khối A (1 HS)
[Lá»›p 12] STT 36 | Ma: G1HHZD003  | Ten: Địa lí 12 (KNTT)                                        | Gia:   21,700 Ä‘ | SL:  1 | ThanhTien:     21,700 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 37 | Ma: G1HHZD004  | Ten: Chuyên đề học tập Địa lí 12 (KNTT)                      | Gia:    7,900 Ä‘ | SL:  1 | ThanhTien:      7,900 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 38 | Ma: G1BHZD001  | Ten: Bài tập Địa lí 12 (KNTT)                                | Gia:   17,000 Ä‘ | SL:  1 | ThanhTien:     17,000 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 39 | Ma: G1HHZY003  | Ten: Giáo dục Kinh tế và Pháp luật 12 (KNTT)                 | Gia:   17,700 Ä‘ | SL:  1 | ThanhTien:     17,700 Ä‘ | Ghi chu: Khối D (1 HS)
[Lá»›p 12] STT 40 | Ma: G1HHZY004  | Ten: Chuyên đề học tập Giáo dục kinh tế và Pháp luật 12 (KNTT) | Gia:    8,000 Ä‘ | SL:  1 | ThanhTien:      8,000 Ä‘ | Ghi chu: Khối D (1 HS)
